name,type,price,img
Empanaditas Antioqueñas ,entradas,$ 14.000,https://hatoviejo.com/prueba/wp-content/uploads/2018/05/Empanaditas_r1000.jpg
Chicharrón ,entradas,$ 22.600,https://hatoviejo.com/prueba/wp-content/uploads/2018/05/20210323_Chicharron_003_r1000.jpg
Entrada Típica ,entradas,$ 29.900,https://hatoviejo.com/prueba/wp-content/uploads/2018/05/20210428_EntradaTipica_004_1000.jpg
Plancha de Queso Papialpa ,entradas,$ 24.200,https://hatoviejo.com/prueba/wp-content/uploads/2018/05/20210303_Queso-Papialpa_06_r1000.jpg
Crema de Maíz ,entradas,$ 14.500,https://hatoviejo.com/prueba/wp-content/uploads/2014/11/MG_6934-crema-de-maiz_r1000.jpg
Sopa Campesina ,entradas,$ 14.000,https://hatoviejo.com/prueba/wp-content/uploads/2014/11/a-Sopa-Campesina_r1000.jpg
Sopa De Guineo ,entradas,$ 14.000,https://hatoviejo.com/prueba/wp-content/uploads/2014/11/a-Sopa-de-Guineo-2_r1000.jpg
Coctel Mixto de Camarones ,entradas,$ 35.700,https://hatoviejo.com/prueba/wp-content/uploads/2014/11/20211012_CoctelDeCamarones_003_1000.jpg
Bandeja Paisa ,platos-fuertes,$ 38.300,https://hatoviejo.com/prueba/wp-content/uploads/2021/08/20210616_BandejaPaisa_018_1000.jpg
Cazuela Típica ,platos-fuertes,$ 37.800,https://hatoviejo.com/prueba/wp-content/uploads/2014/10/13-01-Cazuela-Tipica-1_r1000a.jpg
Mondongo ,platos-fuertes,$ 35.000,https://hatoviejo.com/prueba/wp-content/uploads/2021/08/20210616_Mondongo_001_1000.jpg
Ajiaco ,platos-fuertes,$ 35.500,https://hatoviejo.com/prueba/wp-content/uploads/2021/08/20210616_Ajiaco_005_1000.jpg
Sopa de Cura en Vereda ,platos-fuertes,$ 25.900,https://hatoviejo.com/prueba/wp-content/uploads/2021/08/20210616_SopaDeCura_008_1000.jpg
Fríjoles con Chicharrón ,platos-fuertes,$ 36.800,https://hatoviejo.com/prueba/wp-content/uploads/2014/09/13-01-Frijoles-con-Chicharron-2_r1000.jpg
Posta en Salsa Criolla ,platos-fuertes,$ 42.500,https://hatoviejo.com/prueba/wp-content/uploads/2021/10/20211012_PostaALaCriolla_008_1000.jpg
Lengua en Salsa de Carne y Vino ,platos-fuertes,$ 41.500,https://hatoviejo.com/prueba/wp-content/uploads/2014/08/13-01-Lengua-al-Vino-4_r1000.jpg
Lengua en Salsa Criolla ,platos-fuertes,$ 41.500,https://hatoviejo.com/prueba/wp-content/uploads/2021/10/20211012_LenguaAlaCriolla_007_1000.jpg
Hígado Encebollado ,platos-fuertes,$ 37.000,https://hatoviejo.com/prueba/wp-content/uploads/2014/08/30-11-Higado-Encebollado-7_1024.jpg
Sobrebarriga a la Criolla ,platos-fuertes,$ 42.500,https://hatoviejo.com/prueba/wp-content/uploads/2014/08/13-01-Sobrebarriga-en-Salsa-Criolla-3_r1000.jpg
Sancocho Antioqueño ,platos-fuertes,$ 44.600 (findes y festivos),https://hatoviejo.com/prueba/wp-content/uploads/2013/09/13-01-Sancocho-4_r1000.jpg
Frijoles Verdes ,platos-fuertes,$ 38.000 (Findes y festivos),https://hatoviejo.com/prueba/wp-content/uploads/2013/09/13-01-Frijoles-VERDES-con-Chicharron-2_r1000.jpg
Churrasco ,platos-fuertes,$ 46.800,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/20210323_Churrasco_002_r1000.jpg
Solomito ,platos-fuertes,$ 48.400,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/20210323_Solomito_006_r1000.jpg
Punta de Anca ,platos-fuertes,$ 48.900,https://hatoviejo.com/prueba/wp-content/uploads/2021/04/30-11-Punta-de-Anca-5_1024-1.jpg
Solomito Sterling ,platos-fuertes,$ 50.500,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/30-11-Solomito-Sterling-1_1024.jpg
Pollo ,platos-fuertes,$ 36.500,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/20211012_PolloALaPlancha_008_1000.jpg
Pescado ,platos-fuertes,$ 35.000,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/20210303_Plancha-Pescado-Apanado_01_r1000.jpg
Trucha ,platos-fuertes,$ 37.000,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/13-01-Trucha-2_r1000.jpg
Salmón ,platos-fuertes,$ 54.500,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/13-01-Salmon-1_r1000.jpg
Langostinos ,platos-fuertes,$ 67.600,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/20210323_Langostinos_007_r1000.jpg
Mixta con Langostinos ,platos-fuertes,$ 59.500,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/20210323_MixtaConLangostinos_007_r1000.jpg
Cañón de Cerdo ,platos-fuertes,$ 41.500,https://hatoviejo.com/prueba/wp-content/uploads/2019/08/30-11-Canon-Cerdo-1-_1024.jpg
Pescado en salsa de Camarones ,platos-fuertes,$ 51.500,https://hatoviejo.com/prueba/wp-content/uploads/2017/06/20210303_Pescado-Camarones_06_r1000.jpg
Trucha en salsa de Camarones ,platos-fuertes,$ 51.500,https://hatoviejo.com/prueba/wp-content/uploads/2017/06/20210303_Trucha-Camarones_04_r1000.jpg
Medallones de Solomito ,platos-fuertes,$ 50.500,https://hatoviejo.com/prueba/wp-content/uploads/2017/06/30-11-Medallones-de-Solomito-2_1024.jpg
Pollo en salsa de Queso Papialpa ,platos-fuertes,$ 44.500,https://hatoviejo.com/prueba/wp-content/uploads/2017/06/20210303_Pollo-Papialpa_03_r1000.jpg
Posta Negra Cartagenera ,platos-fuertes,$ 47.000,https://hatoviejo.com/prueba/wp-content/uploads/2014/09/20211012_PostaNegraCartagenera_006_H1000.jpg
Cazuela de Mariscos ,platos-fuertes,$ 59.900,https://hatoviejo.com/prueba/wp-content/uploads/2014/07/30-11-Cazuela-mariscos-5_1024.jpg
Ensalada Hatoviejo ,ensaladas,$ 29.900,https://hatoviejo.com/prueba/wp-content/uploads/2015/02/20211012_EnsaladaHatoviejo_004_1000.jpg
Nuggets de Pollo ,menu-infantil,$ 22.000,https://hatoviejo.com/prueba/wp-content/uploads/2014/10/r-Nuggets-de-Pollo-2.png
Deditos de Pescado ,menu-infantil,$ 19.000,https://hatoviejo.com/prueba/wp-content/uploads/2014/11/Deditos-de-Pescado_2_b.jpg
Julianas de Solomito ,menu-infantil,$ 21.000,https://hatoviejo.com/prueba/wp-content/uploads/2014/11/Julianas-Solomito-2_b.jpg
"Sodas Saborizadas, Jugos, Limonadas, gaseosas",bebidas,N/A,https://hatoviejo.com/prueba/wp-content/uploads/2020/08/HatoMedeG14-Sodas-Saborizadas_w_clic.jpg
Aperitivos y Cocteles,bebidas,N/A,https://hatoviejo.com/prueba/wp-content/uploads/2020/08/HatoMedeG011_w_clic.jpg
Vinos,bebidas,N/A,https://hatoviejo.com/prueba/wp-content/uploads/2012/10/20210323_VinoChurrasco_001_r1000_clic-1.jpg
Cervezas y Licores,bebidas,N/A,https://hatoviejo.com/prueba/wp-content/uploads/2012/06/14-08-picadaclub-colombia-6_w_clic.jpg
"Café, Té, Aromáticas y bebidas calientes",bebidas,N/A,https://hatoviejo.com/prueba/wp-content/uploads/2020/08/20201215_114410-Arom%C3%A1ticas-la-Teresita_w_clic.jpg
Flan de Leche ,postres,$ 13.200,https://hatoviejo.com/prueba/wp-content/uploads/2014/12/20210428_FlanDeLeche_005_1000.jpg
Postre Típico ,postres,$ 12.000,https://hatoviejo.com/prueba/wp-content/uploads/2014/11/20210428_PostreTipico_012_1000.jpg
Postre de Milo ,postres,$ 13.800,https://hatoviejo.com/prueba/wp-content/uploads/2014/10/20210428_PostreDeMilo_002_1000.jpg
Brownie con Helado ,postres,$ 13.900,https://hatoviejo.com/prueba/wp-content/uploads/2014/09/30-11-Brownie-con-Helado-2_1024.jpg
Postre de Natas ,postres,$ 14.600,https://hatoviejo.com/prueba/wp-content/uploads/2014/08/20210428_PostreDeNatas_001_1000.jpg
Mazamorra ,postres,$ 11.500,https://hatoviejo.com/prueba/wp-content/uploads/2014/07/20210428_Mazamorra_003_1000.jpg
Calentado con Chicharrón ,desayunos,$ 19.700,https://hatoviejo.com/prueba/wp-content/uploads/2020/09/14-08-calentado-chicharron-3_1000.jpg
Calentado con Carne desmechada ,desayunos,$ 19.700,https://hatoviejo.com/prueba/wp-content/uploads/2020/09/14-08-calentado-carne-desmechada-2_1000.jpg
Calentado con Solomito ,desayunos,$ 24.800,https://hatoviejo.com/prueba/wp-content/uploads/2020/09/14-08-calentado-solomito-3_1000.jpg
Calentado con Chorizo ,desayunos,$ 19.700,https://hatoviejo.com/prueba/wp-content/uploads/2020/09/14-08-calentado-chorizo-2_1000.jpg
Calentado con Pollo ,desayunos,$ 19.700,https://hatoviejo.com/prueba/wp-content/uploads/2020/09/14-08-calentado-pollo-2_1000.jpg
Calentado con Huevos con Aliños ,desayunos,$ 16.500,https://hatoviejo.com/prueba/wp-content/uploads/2020/09/14-08-calentado-con-huevos-2_1000.jpg
Bistec a Caballo ,desayunos,$ 29.900,https://hatoviejo.com/prueba/wp-content/uploads/2020/09/14-08-bistec-caballo-2_1000.jpg
Chorizo con Arepa ,desayunos,$ 12.500,https://hatoviejo.com/prueba/wp-content/uploads/2020/09/14-08-chorizo-con-arepa-2_1000.jpg
Huevos Especiales con Arepa ,desayunos,$ 19.900,https://hatoviejo.com/prueba/wp-content/uploads/2016/01/DSC05390_1000.jpg
Huevos al gusto con Arepa con queso ,desayunos,$ 15.000,https://hatoviejo.com/prueba/wp-content/themes/hatoviejo/images/default.svg
